,COMPANY NAME,RANK 2020,2020 REVENUE(₹ Cr),2020 PAT IN CRORES,2020 MARKET CAP(₹ Cr),2020 COMPANY TYPE,2020 REVENUE(₹ Cr)_%CHANGE,2020 PAT IN CRORES_%CHANGE,PAT% CATEGORY,REVENUE% CATEGORY
204,Bajaj Hindusthan Sugar Ltd.,225,6681,-49,533.0,Small-Cap,-3.201970443349754,-63.970588235294116,NEGATIVE,NEGATIVE
205,Jaiprakash Associates Ltd.,144,11056,1095,952.0,Small-Cap,1.5150123955559636,-151.8957345971564,NEGATIVE,LOW
206,Endurance Technologies Ltd.,216,6965,565,15111.0,Mid-Cap,-7.589226482685419,14.14141414141414,LOW,NEGATIVE
207,Future Retail Ltd.,84,20418,11,3965.0,Small-Cap,-7.514607963038457,-98.49726775956285,NEGATIVE,NEGATIVE
208,Karur Vysya Bank Ltd.,212,7144,235,2854.0,Small-Cap,5.399822956624373,11.904761904761903,LOW,LOW
209,Supreme Industries Ltd.,248,5544,467,19134.0,Mid-Cap,-2.7539028240659533,4.241071428571429,LOW,NEGATIVE
210,Bharat Forge Ltd.,187,8243,349,22847.0,Large-Cap,-20.34209509083881,-66.18217054263566,NEGATIVE,NEGATIVE
211,Dixon Technologies (India) Ltd.,299,4405,120,12000.0,Mid-Cap,47.324414715719065,90.47619047619048,HIGH,MODERATE
212,Minda Industries Ltd.,249,5504,154,9648.0,Mid-Cap,-7.262005054759898,-45.96491228070175,NEGATIVE,NEGATIVE
213,Apar Industries Ltd.,201,7470,135,1211.0,Small-Cap,-6.3675106542993225,-0.7352941176470588,NEGATIVE,NEGATIVE
214,Au Small Finance Bank Ltd.,275,4991,674,25644.0,Large-Cap,46.36363636363636,76.9028871391076,HIGH,MODERATE
215,Jubilant Pharmova Ltd.,167,9201,898,11210.0,Mid-Cap,0.6013557839492675,56.44599303135889,HIGH,LOW
216,Manappuram Finance Ltd.,247,5551,1467,13782.0,Mid-Cap,32.86261369076113,59.11062906724512,HIGH,MODERATE
217,Vardhman Textiles Ltd.,219,6921,577,4807.0,Small-Cap,-2.740303541315346,-20.958904109589042,NEGATIVE,NEGATIVE
218,Godrej Agrovet Ltd.,214,7015,306,9759.0,Mid-Cap,16.45086321381142,-6.990881458966565,NEGATIVE,MODERATE
219,PDS Multinational Fashions Ltd.,226,6674,46,1025.0,Small-Cap,2.6611290570681434,-11.538461538461538,NEGATIVE,LOW
220,Tube Investments of India Ltd.,280,4812,306,13992.0,Mid-Cap,-17.47556165323272,27.500000000000004,MODERATE,NEGATIVE
221,Shriram City Union Finance Ltd.,232,6239,1022,6305.0,Mid-Cap,2.801120448179272,2.097902097902098,LOW,LOW
222,Jain Irrigation Systems Ltd.,231,6325,-715,815.0,Small-Cap,-31.673328292103275,-399.163179916318,NEGATIVE,NEGATIVE
223,Mahindra CIE Automotive Ltd.,192,7940,353,5583.0,Mid-Cap,-1.6109045848822798,-29.116465863453815,NEGATIVE,NEGATIVE
224,Spicejet Ltd.,115,13206,-934,3578.0,Small-Cap,42.52104467947334,209.27152317880794,EXCELLENT,MODERATE
225,IIFL Finance Ltd.,279,4820,501,3725.0,Small-Cap,-7.307692307692308,-27.391304347826086,NEGATIVE,NEGATIVE
226,ABB India Ltd.,206,7410,303,20981.0,Large-Cap,5.405405405405405,-40.588235294117645,NEGATIVE,LOW
227,Balkrishna Industries Ltd.,271,5062,959,29773.0,Large-Cap,-6.742815033161385,24.0620957309185,MODERATE,NEGATIVE
228,Shree Renuka Sugars Ltd.,198,7745,2099,2118.0,Small-Cap,64.19334322662709,-244.9585635359116,NEGATIVE,HIGH
229,DLF Ltd.,210,7228,-583,44413.0,Large-Cap,-21.05723023154216,-144.20015163002276,NEGATIVE,NEGATIVE
230,PNC Infratech Ltd.,242,5784,549,4300.0,Small-Cap,51.373985867573936,56.41025641025641,HIGH,HIGH
231,Deepak Fertilisers & Petrochemicals Corporation Ltd.,282,4780,87,1464.0,Small-Cap,-29.66450853443202,24.285714285714285,MODERATE,NEGATIVE
232,Kansai Nerolac Paints Ltd.,262,5305,521,28260.0,Large-Cap,-3.264040846097739,15.265486725663715,MODERATE,NEGATIVE
233,Hinduja Global Solutions Ltd.,270,5065,201,1665.0,Small-Cap,4.196667352396626,13.559322033898304,LOW,LOW
234,Prism Johnson Ltd.,233,5991,1,3968.0,Small-Cap,-3.7590361445783134,-99.13793103448276,NEGATIVE,NEGATIVE
235,L&T Technology Services Ltd.,241,5828,818,17695.0,Mid-Cap,9.941520467836257,6.928104575163399,LOW,LOW
236,Hatsun Agro Products Ltd.,259,5316,112,14092.0,Mid-Cap,11.540075535039866,-1.7543859649122806,NEGATIVE,LOW
237,Surya Roshni Ltd.,250,5474,102,1372.0,Small-Cap,-8.522727272727272,-15.0,NEGATIVE,NEGATIVE
238,IRB Infrastructure Developers Ltd.,213,7104,720,4011.0,Small-Cap,2.9266879165459287,-15.19434628975265,NEGATIVE,LOW
239,ISGEC Heavy Engineering Ltd.,236,5914,146,1879.0,Small-Cap,15.53037702676304,2.8169014084507045,LOW,MODERATE
240,Ipca Laboratories Ltd.,286,4686,606,27524.0,Large-Cap,23.218511701288456,36.486486486486484,MODERATE,MODERATE
241,Alembic Pharmaceuticals Ltd.,291,4610,828,19226.0,Mid-Cap,16.886409736308316,41.78082191780822,MODERATE,MODERATE
242,Gujarat Narmada Valley Fertilizers & Chemicals Ltd.,260,5315,508,3091.0,Small-Cap,-13.096795291039895,-32.176234979973295,NEGATIVE,NEGATIVE
243,Aditya Birla Fashion and Retail Ltd.,173,8853,-163,12075.0,Mid-Cap,8.200928868247372,-150.77881619937693,NEGATIVE,LOW
244,The Ramco Cements Ltd.,253,5422,604,20061.0,Large-Cap,4.53055716213611,18.43137254901961,MODERATE,LOW
245,Sundaram Finance Ltd.,284,4738,791,18074.0,Mid-Cap,11.377527033380348,-31.810344827586206,NEGATIVE,LOW
246,Indraprastha Gas Ltd.,223,6782,1248,30577.0,Large-Cap,13.411371237458194,48.218527315914486,MODERATE,LOW
247,Ashoka Buildcon Ltd.,268,5163,165,1916.0,Small-Cap,3.115638106650689,-600.0,NEGATIVE,LOW
248,Arvind Ltd.,205,7429,95,991.0,Small-Cap,2.8092997508995294,-57.9646017699115,NEGATIVE,LOW
249,Oracle Financial Services Software Ltd.,272,5038,1462,26380.0,Large-Cap,-1.8698870276587458,5.55956678700361,LOW,NEGATIVE
250,Firstsource Solutions Ltd.,309,4107,339,5173.0,Mid-Cap,7.2323759791122715,-10.079575596816976,NEGATIVE,LOW
251,Polyplex Corporation Ltd.,289,4617,282,2389.0,Small-Cap,-2.4508768223114306,-14.545454545454545,NEGATIVE,NEGATIVE
252,TeamLease Services Ltd.,265,5231,34,4021.0,Small-Cap,17.15565509518477,-65.3061224489796,NEGATIVE,MODERATE
253,Thermax Ltd.,240,5831,212,9604.0,Mid-Cap,-4.768904131961457,-34.76923076923077,NEGATIVE,NEGATIVE
254,Sterlite Technologies Ltd.,267,5188,433,5895.0,Mid-Cap,1.249024199843872,-22.95373665480427,NEGATIVE,LOW
255,Crompton Greaves Consumer Electricals Ltd.,293,4579,496,18938.0,Mid-Cap,1.171011931064958,23.690773067331673,MODERATE,LOW
256,Colgate-Palmolive (India) Ltd.,294,4574,816,41127.0,Large-Cap,0.9713024282560706,5.290322580645161,LOW,LOW
257,Balrampur Chini Mills Ltd.,281,4792,519,3199.0,Small-Cap,10.542099192618224,-9.73913043478261,NEGATIVE,LOW
258,City Union Bank Ltd.,278,4848,476,13146.0,Mid-Cap,13.24456902592852,-30.205278592375368,NEGATIVE,LOW
259,Laurus Labs Ltd.,403,2837,255,15204.0,Mid-Cap,22.920277296360485,174.19354838709677,EXCELLENT,MODERATE
260,JK Lakshmi Cement Ltd.,298,4410,248,3761.0,Small-Cap,0.7309273640931933,386.27450980392155,EXCELLENT,LOW
261,Cummins India Ltd.,245,5571,705,13494.0,Mid-Cap,-7.535269709543568,-4.986522911051213,NEGATIVE,NEGATIVE
262,Gujarat Ambuja Exports Ltd.,323,3826,145,2660.0,Small-Cap,-5.132655591371188,-26.767676767676768,NEGATIVE,NEGATIVE
263,Triveni Engineering & Industries Ltd.,296,4493,335,1660.0,Small-Cap,38.887171561051005,55.092592592592595,HIGH,MODERATE
264,PI Industries Ltd.,352,3416,456,35108.0,Large-Cap,17.79310344827586,11.219512195121952,LOW,MODERATE
265,Coforge Ltd.,303,4251,444,13963.0,Mid-Cap,13.99839098954143,10.173697270471465,LOW,LOW
266,LT Foods Ltd.,307,4184,184,1620.0,Small-Cap,6.8983137455288706,46.03174603174603,MODERATE,LOW
267,Bajaj Electricals Ltd.,273,5033,-9,6060.0,Mid-Cap,-25.370699881376034,-105.76923076923077,NEGATIVE,NEGATIVE
268,India Cements Ltd.,266,5228,50,4133.0,Small-Cap,-10.00172146668962,138.0952380952381,EXCELLENT,NEGATIVE
269,Trident Ltd.,283,4747,339,3898.0,Small-Cap,-10.298563869992442,-8.62533692722372,NEGATIVE,NEGATIVE
270,Aarti Industries Ltd.,305,4195,536,19135.0,Mid-Cap,-10.877416613554281,9.164969450101832,LOW,NEGATIVE
271,HFCL Ltd.,321,3860,227,2244.0,Small-Cap,-19.31438127090301,3.65296803652968,LOW,NEGATIVE
272,Abbott India Ltd.,304,4207,592,32849.0,Large-Cap,10.973357953046689,31.555555555555554,MODERATE,LOW
273,United Breweries Ltd.,228,6518,427,26878.0,Large-Cap,0.16904871676655908,-24.02135231316726,NEGATIVE,LOW
274,Bayer Cropscience Ltd.,330,3675,474,23542.0,Large-Cap,35.01102130786187,100.0,HIGH,MODERATE
275,Blue Star Ltd.,255,5404,143,6725.0,Mid-Cap,2.464922260144103,-24.736842105263158,NEGATIVE,LOW
276,Persistent Systems Ltd.,329,3698,340,8825.0,Mid-Cap,7.095279467130032,-3.133903133903134,NEGATIVE,LOW
277,Cyient Ltd.,292,4585,342,4808.0,Small-Cap,-3.5143097643097643,-28.451882845188287,NEGATIVE,NEGATIVE
278,Fortis Healthcare Ltd.,276,4908,57,10358.0,Mid-Cap,-2.5803890432711394,-119.12751677852349,NEGATIVE,NEGATIVE
279,Sonata Software Ltd.,325,3801,276,3548.0,Small-Cap,27.123745819397993,10.843373493975903,LOW,MODERATE
280,Jindal Poly Films Ltd.,334,3606,488,2080.0,Small-Cap,-5.080284285338247,-219.60784313725492,NEGATIVE,NEGATIVE
281,KEI Industries Ltd.,277,4904,256,3219.0,Small-Cap,15.714959886739027,42.22222222222222,MODERATE,MODERATE
282,Avanti Feeds Ltd.,306,4185,346,6744.0,Mid-Cap,17.987031294051313,26.73992673992674,MODERATE,MODERATE
283,Suzlon Energy Ltd.,387,3000,-2642,2803.0,Small-Cap,-41.668286992027994,73.01899148657498,HIGH,NEGATIVE
284,Dhampur Sugar Mills Ltd.,339,3515,216,964.0,Small-Cap,18.270524899057875,-13.94422310756972,NEGATIVE,MODERATE
285,Godawari Power & Ispat Ltd.,361,3295,166,1338.0,Small-Cap,-1.0807565295706996,-34.12698412698413,NEGATIVE,NEGATIVE
286,KRBL Ltd.,295,4521,558,5993.0,Mid-Cap,9.334945586457073,10.934393638170974,LOW,LOW
287,DCB Bank Ltd.,317,3928,337,2827.0,Small-Cap,15.836036567384252,3.6923076923076925,LOW,MODERATE
288,Gayatri Projects Ltd.,349,3444,-58,508.0,Small-Cap,-0.8064516129032258,-136.25,NEGATIVE,NEGATIVE
289,Shipping Corporation of India Ltd.,285,4702,336,2444.0,Small-Cap,16.936085550857996,-641.9354838709677,NEGATIVE,MODERATE
290,Aegis Logistics Ltd.,211,7216,99,7559.0,Mid-Cap,28.3072546230441,-55.203619909502265,NEGATIVE,MODERATE
291,JMC Projects (India) Ltd.,319,3894,1,835.0,Small-Cap,13.428488202738128,-98.68421052631578,NEGATIVE,LOW
292,Atul Ltd.,308,4176,666,18595.0,Mid-Cap,-2.973977695167286,54.166666666666664,HIGH,NEGATIVE
293,Wockhardt Ltd.,391,2977,-69,3703.0,Small-Cap,-28.762861928691073,-64.43298969072166,NEGATIVE,NEGATIVE
294,Zensar Technologies Ltd.,301,4270,263,4475.0,Small-Cap,5.198324710519833,-15.974440894568689,NEGATIVE,LOW
295,Jayaswal Neco Industries Ltd.,332,3640,-1504,212.0,Small-Cap,-14.211642705632807,239.50338600451468,EXCELLENT,NEGATIVE
296,Sundram Fasteners Ltd.,328,3751,324,10096.0,Mid-Cap,-18.17190226876091,-29.10284463894967,NEGATIVE,NEGATIVE
297,Raymond Ltd.,224,6768,196,1952.0,Small-Cap,0.9094975398837036,17.365269461077844,MODERATE,LOW
298,SJVN Ltd.,359,3309,1655,8879.0,Mid-Cap,6.501448342452526,21.156661786237187,MODERATE,LOW
299,Motilal Oswal Financial Services Ltd.,464,2365,183,8538.0,Mid-Cap,-4.173419773095624,-37.54266211604095,NEGATIVE,NEGATIVE
300,BEML Ltd.,375,3074,63,2680.0,Small-Cap,-12.096082356305404,0.0,NEGATIVE,NEGATIVE
301,Procter & Gamble Hygiene & Healthcare Ltd.,379,3046,433,34286.0,Large-Cap,1.5671890630210068,3.341288782816229,LOW,LOW
302,Jaiprakash Power Ventures Ltd.,340,3509,-2162,1638.0,Small-Cap,-13.507517870347547,479.62466487935654,EXCELLENT,NEGATIVE
303,Birlasoft Ltd.,357,3333,224,5093.0,Mid-Cap,25.72614107883817,-22.491349480968857,NEGATIVE,MODERATE
304,KPR Mill Ltd.,354,3389,376,5398.0,Mid-Cap,-1.1376896149358227,12.574850299401197,LOW,NEGATIVE
305,Great Eastern Shipping Company Ltd.,315,3948,207,3495.0,Small-Cap,3.1078610603290677,-1085.7142857142858,NEGATIVE,LOW
306,Finolex Industries Ltd.,380,3041,332,7375.0,Mid-Cap,-3.3068362480127185,-9.536784741144414,NEGATIVE,NEGATIVE
307,Electrosteel Castings Ltd.,414,2744,161,915.0,Small-Cap,-1.4013654329859864,323.6842105263158,EXCELLENT,NEGATIVE
308,IFB Industries Ltd.,356,3345,27,3053.0,Small-Cap,-0.029886431560071723,-62.5,NEGATIVE,NEGATIVE
309,GE T&D India Ltd.,365,3218,-302,2351.0,Small-Cap,-24.760346036941783,-242.45283018867926,NEGATIVE,NEGATIVE
310,Strides Pharma Science Ltd.,399,2909,36,6112.0,Mid-Cap,-14.94152046783626,-88.88888888888889,NEGATIVE,NEGATIVE
311,SREI Infrastructure Finance Ltd.,234,5986,88,320.0,Small-Cap,-8.610687022900763,-81.89300411522635,NEGATIVE,NEGATIVE
312,Sun TV Network Ltd.,326,3780,1385,16884.0,Mid-Cap,-6.086956521739131,-3.3496161898115844,NEGATIVE,NEGATIVE
313,Mukand Ltd.,389,2990,-239,702.0,Small-Cap,-20.64755838641189,107.82608695652173,EXCELLENT,NEGATIVE
314,Jubilant Foodworks Ltd.,313,3996,279,31686.0,Large-Cap,10.692520775623269,-12.539184952978054,NEGATIVE,LOW
315,GlaxoSmithKline Pharmaceuticals Ltd.,322,3850,93,24681.0,Large-Cap,17.413845684659957,-79.10112359550561,NEGATIVE,MODERATE
316,Prakash Industries Ltd.,386,3004,118,750.0,Small-Cap,-24.46567764646719,-78.10760667903524,NEGATIVE,NEGATIVE
317,The Fertilisers and Chemicals Travancore Ltd.,327,3773,975,3161.0,Small-Cap,53.00081103000811,498.15950920245393,EXCELLENT,HIGH
318,Kirloskar Oil Engines Ltd.,351,3438,185,1515.0,Small-Cap,-6.9049553208773355,-15.52511415525114,NEGATIVE,NEGATIVE
319,Blue Dart Express Ltd.,367,3190,-41,9387.0,Mid-Cap,-0.09395552771688068,-146.06741573033707,NEGATIVE,NEGATIVE
320,Mahindra Logistics Ltd.,345,3485,55,2752.0,Small-Cap,-9.668221876620011,-35.294117647058826,NEGATIVE,NEGATIVE
321,Dish TV India Ltd.,337,3569,-1638,1983.0,Small-Cap,-42.60212286908974,43.18181818181818,MODERATE,NEGATIVE
322,Tamil Nadu Newsprint And Papers Ltd.,320,3885,130,731.0,Small-Cap,-12.322274881516588,38.297872340425535,MODERATE,NEGATIVE
323,JM Financial Ltd.,347,3453,544,7386.0,Mid-Cap,-3.4935718278367807,-4.895104895104895,NEGATIVE,NEGATIVE
324,Supreme Petrochem Ltd.,416,2736,102,2722.0,Small-Cap,-14.58008117389947,108.16326530612245,EXCELLENT,NEGATIVE
325,Astral Ltd.,442,2590,247,19734.0,Mid-Cap,2.696272799365583,26.666666666666668,MODERATE,LOW
326,Kothari Products Ltd.,300,4283,34,180.0,Small-Cap,-26.155172413793103,-72.35772357723577,NEGATIVE,NEGATIVE
327,Venky's (India) Ltd.,360,3296,-27,2220.0,Small-Cap,7.291666666666667,-115.51724137931035,NEGATIVE,LOW
328,Honeywell Automation India Ltd.,355,3387,491,26660.0,Large-Cap,4.375963020030817,37.150837988826815,MODERATE,LOW
329,JK Paper Ltd.,353,3404,475,1606.0,Small-Cap,-3.896103896103896,11.241217798594848,LOW,NEGATIVE
330,EPL Ltd.,411,2784,207,8095.0,Mid-Cap,1.4947138169886984,7.8125,LOW,LOW
331,CG Power and Industrial Solutions Ltd.,258,5351,-2159,2188.0,Small-Cap,-33.511431411530815,329.22465208747514,EXCELLENT,NEGATIVE
332,Finolex Cables Ltd.,378,3046,391,4325.0,Small-Cap,-6.535747161706045,-3.9312039312039313,NEGATIVE,NEGATIVE
333,Amber Enterprises India Ltd.,314,3970,158,7543.0,Mid-Cap,45.58122478914558,69.89247311827957,HIGH,MODERATE
334,Castrol India Ltd.,316,3941,827,11617.0,Mid-Cap,-1.1785356068204613,16.807909604519775,MODERATE,NEGATIVE
335,AIA Engineering Ltd.,373,3111,590,16727.0,Mid-Cap,-2.4764890282131664,15.686274509803921,MODERATE,NEGATIVE
336,KNR Constructions Ltd.,448,2528,265,3752.0,Small-Cap,6.756756756756757,-1.8518518518518516,NEGATIVE,LOW
337,Paul Merchants Ltd.,254,5406,26,125.0,Small-Cap,9.67741935483871,18.181818181818183,MODERATE,LOW
338,Cochin Shipyard Ltd.,331,3667,632,4503.0,Small-Cap,15.025094102885822,32.21757322175732,MODERATE,MODERATE
339,Time Technoplast Ltd.,335,3580,169,935.0,Small-Cap,0.3925967470555244,-16.33663366336634,NEGATIVE,LOW
340,Kesoram Industries Ltd.,425,2685,-187,614.0,Small-Cap,-37.41258741258741,-48.484848484848484,NEGATIVE,NEGATIVE
341,Sanofi India Ltd.,369,3164,414,18861.0,Mid-Cap,10.706787963610918,8.947368421052632,LOW,LOW
342,Emami Ltd.,419,2711,302,17233.0,Mid-Cap,-0.659582264565775,-0.33003300330033003,NEGATIVE,NEGATIVE
343,Forbes & Company Ltd.,409,2804,-324,1940.0,Small-Cap,-3.2769920662297345,-5500.0,NEGATIVE,NEGATIVE
344,GHCL Ltd.,358,3322,396,1576.0,Small-Cap,-1.0131108462455305,13.142857142857142,LOW,NEGATIVE
345,Brightcom Group Ltd.,420,2706,440,266.0,Small-Cap,5.005820721769499,-0.6772009029345373,NEGATIVE,LOW
346,Page Industries Ltd.,392,2970,343,24282.0,Large-Cap,2.8393351800554014,-12.72264631043257,NEGATIVE,LOW
347,PC Jeweller Ltd.,264,5287,83,624.0,Small-Cap,-39.673664993153814,inf,EXCELLENT,NEGATIVE
348,Va Tech Wabag Ltd.,441,2597,90,1168.0,Small-Cap,-6.850789096126256,-14.285714285714285,NEGATIVE,NEGATIVE
349,Transport Corporation of India Ltd.,412,2763,142,1850.0,Small-Cap,-1.250893495353824,-1.3888888888888888,NEGATIVE,NEGATIVE
350,Nava Bharat Ventures Ltd.,401,2880,395,889.0,Small-Cap,-9.859154929577464,10.644257703081232,LOW,NEGATIVE
351,Kajaria Ceramics Ltd.,404,2832,255,9556.0,Mid-Cap,-4.774714189643578,12.831858407079647,LOW,NEGATIVE
352,Jai Balaji Industries Ltd.,394,2967,-114,160.0,Small-Cap,-4.8123195380173245,-25.49019607843137,NEGATIVE,NEGATIVE
353,Galaxy Surfactants Ltd.,439,2602,230,6483.0,Mid-Cap,-5.963136971449224,21.052631578947366,MODERATE,NEGATIVE
354,Trent Ltd.,333,3630,122,25585.0,Large-Cap,24.742268041237114,27.083333333333332,MODERATE,MODERATE
355,ITD Cementation India Ltd.,400,2893,43,909.0,Small-Cap,13.406507252058017,-33.84615384615385,NEGATIVE,LOW
356,Kirloskar Brothers Ltd.,368,3172,71,937.0,Small-Cap,-5.931198102016608,2266.666666666667,EXCELLENT,NEGATIVE
357,V-Guard Industries Ltd.,449,2528,187,7411.0,Mid-Cap,-3.2899770466717673,11.976047904191617,LOW,NEGATIVE
358,SKF India Ltd.,395,2945,288,7540.0,Mid-Cap,-5.790147152911068,-14.029850746268657,NEGATIVE,NEGATIVE
359,Carborundum Universal Ltd.,432,2661,272,5966.0,Mid-Cap,-2.7412280701754383,10.121457489878543,LOW,NEGATIVE
360,Century Textiles & Industries Ltd.,346,3458,365,3605.0,Small-Cap,-17.940199335548172,-45.359281437125745,NEGATIVE,NEGATIVE
361,Phillips Carbon Black Ltd.,362,3272,286,2663.0,Small-Cap,-7.7790304396843295,-25.326370757180154,NEGATIVE,NEGATIVE
362,Godfrey Phillips India Ltd.,377,3064,384,4636.0,Small-Cap,14.9718574108818,47.69230769230769,MODERATE,LOW
363,3M India Ltd.,381,3032,322,23494.0,Large-Cap,-1.4304291287386215,-12.021857923497267,NEGATIVE,NEGATIVE
364,Sadbhav Engineering Ltd.,257,5363,792,830.0,Small-Cap,-3.5084562792371354,3671.4285714285716,EXCELLENT,NEGATIVE
365,Narayana Hrudayalaya Ltd.,370,3151,118,7273.0,Mid-Cap,9.523809523809524,100.0,HIGH,LOW
366,Prime Focus Ltd.,385,3013,-131,1158.0,Small-Cap,13.143071723619979,495.45454545454544,EXCELLENT,LOW
367,J Kumar Infraprojects Ltd.,388,2998,183,844.0,Small-Cap,6.500888099467141,3.389830508474576,LOW,LOW
368,Orient Cement Ltd.,437,2612,86,1378.0,Small-Cap,-2.7550260610573343,82.97872340425532,HIGH,NEGATIVE
369,Zuari Agro Chemicals Ltd.,269,5142,-801,351.0,Small-Cap,-37.40718198417529,371.1764705882353,EXCELLENT,NEGATIVE
370,Religare Enterprises Ltd.,461,2397,-932,1368.0,Small-Cap,-0.16659725114535612,-27.583527583527584,NEGATIVE,NEGATIVE
371,Electrotherm (India) Ltd.,364,3261,24,119.0,Small-Cap,-19.560927479033055,-82.97872340425532,NEGATIVE,NEGATIVE
372,Gujarat Alkalies & Chemicals Ltd.,407,2814,332,2331.0,Small-Cap,-12.69004033509153,-51.8840579710145,NEGATIVE,NEGATIVE
373,Heritage Foods Ltd.,382,3029,-160,1295.0,Small-Cap,14.129615674453655,-297.53086419753083,NEGATIVE,LOW
374,Huhtamaki India Ltd.,440,2599,170,2189.0,Small-Cap,8.972746331236896,400.0,EXCELLENT,LOW
375,Asahi India Glass Ltd.,431,2665,153,5685.0,Mid-Cap,-9.322898945219462,-19.473684210526315,NEGATIVE,NEGATIVE
376,Akzo Nobel India Ltd.,421,2702,237,9234.0,Mid-Cap,-8.747044917257684,12.322274881516588,LOW,NEGATIVE
377,Wheels India Ltd.,428,2679,49,990.0,Small-Cap,-22.30278422273782,-35.526315789473685,NEGATIVE,NEGATIVE
378,Minda Corporation Ltd.,402,2869,-199,1627.0,Small-Cap,-9.580838323353294,-217.75147928994082,NEGATIVE,NEGATIVE
379,Maharashtra Seamless Ltd.,422,2694,83,1613.0,Small-Cap,-14.90840176879343,-64.52991452991454,NEGATIVE,NEGATIVE
380,RSWM Ltd.,408,2814,-13,215.0,Small-Cap,-6.012024048096192,-65.78947368421053,NEGATIVE,NEGATIVE
381,Poonawalla Fincorp Ltd.,445,2562,27,1185.0,Small-Cap,1.9093078758949882,-91.11842105263158,NEGATIVE,LOW
382,India Glycols Ltd.,341,3499,114,867.0,Small-Cap,3.7355469908093686,-13.636363636363635,NEGATIVE,LOW
383,Future Lifestyle Fashions Ltd.,230,6361,-53,1635.0,Small-Cap,0.29959003468937245,-128.19148936170214,NEGATIVE,LOW
384,Pfizer Ltd.,466,2335,509,23060.0,Large-Cap,3.8701067615658364,18.64801864801865,MODERATE,LOW
385,Graphite India Ltd.,363,3267,44,3943.0,Small-Cap,-59.50167348456675,-98.7039764359352,NEGATIVE,NEGATIVE
386,Himatsingka Seide Ltd.,459,2419,13,1188.0,Small-Cap,-8.854559155990957,-93.36734693877551,NEGATIVE,NEGATIVE
387,Simplex Infrastructures Ltd.,310,4093,-320,173.0,Small-Cap,-34.29121849414031,-362.2950819672131,NEGATIVE,NEGATIVE
388,Mahanagar Gas Ltd.,376,3071,793,8758.0,Mid-Cap,7.078103207810321,45.23809523809524,MODERATE,LOW
389,Sobha Ltd.,324,3825,281,2848.0,Small-Cap,8.819345661450924,-5.0675675675675675,NEGATIVE,LOW
390,Mangalore Chemicals & Fertilizers Ltd.,418,2734,64,391.0,Small-Cap,-11.377633711507293,100.0,HIGH,NEGATIVE
391,Patel Engineering Ltd.,405,2822,11,450.0,Small-Cap,7.4229158736200995,-92.85714285714286,NEGATIVE,LOW
392,Century Plyboards (India) Ltd.,468,2329,150,4247.0,Small-Cap,1.8364669873196329,1.3513513513513513,LOW,LOW
393,Usha Martin Ltd.,423,2690,418,741.0,Small-Cap,7.21402949382224,789.3617021276596,EXCELLENT,LOW
394,Nilkamal Ltd.,476,2277,142,2005.0,Small-Cap,-4.408060453400504,21.367521367521366,MODERATE,NEGATIVE
395,IFCI Ltd.,477,2264,-277,1151.0,Small-Cap,-27.760051052967455,-43.23770491803279,NEGATIVE,NEGATIVE
396,Rane Holdings Ltd.,481,2234,-2,618.0,Small-Cap,-16.92078839717367,-101.94174757281553,NEGATIVE,NEGATIVE
397,Shankara Building Products Ltd.,434,2644,39,713.0,Small-Cap,-0.5267118133935289,21.875,MODERATE,NEGATIVE
398,Force Motors Ltd.,372,3123,50,1441.0,Small-Cap,-16.363149437600427,-65.03496503496503,NEGATIVE,NEGATIVE
399,Bharat Dynamics Ltd.,366,3211,534,5604.0,Mid-Cap,0.187207488299532,26.540284360189574,MODERATE,LOW
