,COMPANY NAME,RANK 2019,2019 REVENUE(₹ Cr),2019 PAT IN CRORES,2019 MARKET CAP(₹ Cr),2019 COMPANY TYPE,2019 REVENUE(₹ Cr)_%CHANGE,2019 PAT IN CRORES_%CHANGE,PAT% CATEGORY,REVENUE% CATEGORY
0,Reliance Industries Ltd.,1,575873,39588,949280.0,Large-Cap,40.355841528656214,9.738045738045738,LOW,MODERATE
1,State Bank of India,4,330687,2299,290140.0,Large-Cap,7.881850538451751,-150.4609306409131,NEGATIVE,LOW
2,Indian Oil Corporation Ltd.,2,532247,17376,125768.0,Large-Cap,25.434989076666014,-21.690927937266213,NEGATIVE,MODERATE
3,Oil And Natural Gas Corporation Ltd.,3,432962,30494,172135.0,Large-Cap,29.962808763804134,37.950689889165346,MODERATE,MODERATE
4,Rajesh Exports Ltd.,8,175830,1292,20200.0,Large-Cap,-6.347870549886017,2.1343873517786562,LOW,NEGATIVE
5,Tata Motors Ltd.,5,305280,-28826,48588.0,Large-Cap,1.3633314960786787,-420.71651090342675,NEGATIVE,LOW
6,Bharat Petroleum Corporation Ltd.,6,301200,7802,111550.0,Large-Cap,26.216277374098006,-13.388099467140318,NEGATIVE,MODERATE
7,Hindustan Petroleum Corporation Ltd.,7,277816,6690,45237.0,Large-Cap,25.31563919474228,-7.315045719035744,NEGATIVE,MODERATE
8,Tata Consultancy Services Ltd.,11,150774,31472,799565.0,Large-Cap,18.95853879837469,21.861689769999227,MODERATE,MODERATE
9,ICICI Bank Ltd.,14,131306,4254,318508.0,Large-Cap,10.369928300649748,-44.839211618257266,NEGATIVE,LOW
10,Tata Steel Ltd.,9,159738,10218,45758.0,Large-Cap,8.523561063101255,-23.939258597588207,NEGATIVE,LOW
11,HDFC Bank Ltd.,15,124107,22332,691980.0,Large-Cap,22.46112251341964,20.648298217179903,MODERATE,MODERATE
12,Larsen & Toubro Ltd.,12,143153,8905,195557.0,Large-Cap,16.628239492272474,20.844076536843534,MODERATE,MODERATE
13,Housing Development Finance Corporation Ltd.,17,103584,16231,386084.0,Large-Cap,42.68554741308061,-0.1415036298757229,NEGATIVE,MODERATE
14,Hindalco Industries Ltd.,13,131669,5495,44147.0,Large-Cap,9.334207991496994,-9.6514304505097,NEGATIVE,LOW
15,NTPC Ltd.,18,98274,12640,116721.0,Large-Cap,9.018903088391907,19.889974390590915,MODERATE,LOW
16,Bharti Airtel Ltd.,21,86581,409,207156.0,Large-Cap,-0.14186196715261118,-62.78434940855323,NEGATIVE,NEGATIVE
17,Infosys Ltd.,22,85557,15404,300107.0,Large-Cap,15.990618475637863,-3.8991827312995198,NEGATIVE,MODERATE
18,Punjab National Bank,33,59514,-9570,29309.0,Large-Cap,3.3085682544091095,-21.10469909315746,NEGATIVE,LOW
19,Coal India Ltd.,10,153127,17461,126223.0,Large-Cap,15.222315025922331,148.73219373219374,EXCELLENT,MODERATE
20,Canara Bank,34,54269,601,16129.0,Mid-Cap,11.337012494101717,-115.21133890154391,NEGATIVE,LOW
21,Vedanta Ltd.,19,96386,7065,55138.0,Large-Cap,-5.681462345389072,-31.68632759620963,NEGATIVE,NEGATIVE
22,Bank of Baroda,32,60793,1100,39026.0,Large-Cap,12.479647720544701,-158.2935877053524,NEGATIVE,LOW
23,ICICI Prudential Life Insurance Company Ltd.,44,42053,1138,73315.0,Large-Cap,7.9278308181911505,-29.709697344039533,NEGATIVE,LOW
24,Union Bank of India,49,39355,-2922,18142.0,Mid-Cap,2.452294796032593,-43.937068303914046,NEGATIVE,LOW
25,SBI Life Insurance Company Ltd.,42,44780,1326,97023.0,Large-Cap,30.847675539841628,15.304347826086955,MODERATE,MODERATE
26,Axis Bank Ltd.,26,70232,5038,207918.0,Large-Cap,20.103974280046515,1007.2527472527472,EXCELLENT,MODERATE
27,JSW Steel Ltd.,23,84961,7639,60545.0,Large-Cap,21.116781661629698,22.932088831670423,MODERATE,MODERATE
28,Grasim Industries Ltd.,25,73851,1771,51164.0,Large-Cap,28.945576449635958,-33.86855862584018,NEGATIVE,MODERATE
29,Mahindra & Mahindra Ltd.,16,107752,5315,70212.0,Large-Cap,11.80260850617886,-29.22769640479361,NEGATIVE,LOW
30,HCL Technologies Ltd.,31,61370,10120,154495.0,Large-Cap,18.715543089273623,16.041738332760005,MODERATE,MODERATE
31,Maruti Suzuki India Ltd.,20,88785,7649,218163.0,Large-Cap,8.304768410651768,-2.931472081218274,NEGATIVE,LOW
32,HDFC Life Insurance Company Ltd.,51,38896,1277,117667.0,Large-Cap,19.529209305184228,15.356820234869014,MODERATE,MODERATE
33,Power Finance Corporation Ltd.,35,54201,9920,30178.0,Large-Cap,98.93925490915765,69.74674880219028,HIGH,HIGH
34,Steel Authority of India (SAIL) Ltd.,27,67690,2348,15922.0,Mid-Cap,17.464339013639677,-935.5871886120996,NEGATIVE,MODERATE
35,Wipro Ltd.,30,61632,9003,150850.0,Large-Cap,8.15287965465202,12.50937265683579,LOW,LOW
