,RANK 2021,COMPANY NAME,2021 REVENUE(₹ Cr),2021 PAT IN CRORES,2021 MARKET CAP(₹ Cr),2021 COMPANY TYPE,2021 REVENUE(₹ Cr)_%CHANGE,2021 PAT IN CRORES_%CHANGE,PAT% CATEGORY,REVENUE% CATEGORY
194,204,JSW Energy Ltd.,7176,822,51866.0,Large-Cap,-22.160754962577286,-25.204731574158323,NEGATIVE,NEGATIVE
195,205,Escorts Ltd.,7174,871,22488.0,Large-Cap,21.449128153038767,84.53389830508475,HIGH,MODERATE
196,206,Divi's Laboratories Ltd.,7031,1984,130306.0,Large-Cap,25.913323782234958,44.18604651162791,MODERATE,MODERATE
197,207,NBCC (India) Ltd.,7012,236,8056.0,Mid-Cap,28.778696051423324,198.73417721518987,EXCELLENT,MODERATE
198,208,Birla Corporation Ltd.,6885,630,11212.0,Mid-Cap,-1.6428571428571428,24.752475247524753,MODERATE,NEGATIVE
199,209,Berger Paints (India) Ltd.,6869,719,74808.0,Large-Cap,6.760957413739509,9.43683409436834,LOW,LOW
200,210,GMR Infrastructure Ltd.,6863,-3427,24366.0,Large-Cap,-25.580134461071353,41.086867023466446,MODERATE,NEGATIVE
201,211,Container Corporation of India Ltd.,6826,500,40161.0,Large-Cap,-1.443834825295986,23.762376237623762,MODERATE,NEGATIVE
202,212,Welspun Corp Ltd.,6810,630,3820.0,Small-Cap,-33.74197314652656,-0.7874015748031495,NEGATIVE,NEGATIVE
203,213,JK Cement Ltd.,6719,703,26855.0,Large-Cap,14.152225620115527,41.733870967741936,MODERATE,LOW
204,214,Bajaj Hindusthan Sugar Ltd.,6688,-290,1739.0,Small-Cap,0.1047747343212094,491.83673469387753,EXCELLENT,LOW
205,215,Jaiprakash Associates Ltd.,6612,-667,2240.0,Small-Cap,-40.19536903039074,-160.91324200913243,NEGATIVE,NEGATIVE
206,216,Endurance Technologies Ltd.,6577,519,25055.0,Large-Cap,-5.570710696338836,-8.141592920353983,NEGATIVE,NEGATIVE
207,217,Future Retail Ltd.,6560,-3189,2702.0,Small-Cap,-67.8714859437751,-29090.909090909092,NEGATIVE,NEGATIVE
208,218,Karur Vysya Bank Ltd.,6527,359,4237.0,Small-Cap,-8.636618141097424,52.76595744680851,HIGH,NEGATIVE
209,219,Supreme Industries Ltd.,6507,978,28875.0,Large-Cap,17.37012987012987,109.4218415417559,EXCELLENT,MODERATE
210,220,Bharat Forge Ltd.,6505,-126,35798.0,Large-Cap,-21.08455659347325,-136.1031518624642,NEGATIVE,NEGATIVE
211,221,Dixon Technologies (India) Ltd.,6449,159,31595.0,Large-Cap,46.40181611804767,32.5,MODERATE,MODERATE
212,222,Minda Industries Ltd.,6422,224,24642.0,Large-Cap,16.67877906976744,45.45454545454545,MODERATE,MODERATE
213,223,Apar Industries Ltd.,6410,160,2633.0,Small-Cap,-14.190093708165996,18.51851851851852,MODERATE,NEGATIVE
214,224,Au Small Finance Bank Ltd.,6401,1170,37664.0,Large-Cap,28.250851532758965,73.59050445103857,HIGH,MODERATE
215,225,Jubilant Pharmova Ltd.,6389,835,9661.0,Mid-Cap,-30.561895446147158,-7.015590200445435,NEGATIVE,NEGATIVE
216,226,Manappuram Finance Ltd.,6374,1724,16339.0,Mid-Cap,14.826157449108269,17.518745739604636,MODERATE,LOW
217,227,Vardhman Textiles Ltd.,6362,422,11616.0,Mid-Cap,-8.076867504695853,-26.8630849220104,NEGATIVE,NEGATIVE
218,228,Godrej Agrovet Ltd.,6356,347,11292.0,Mid-Cap,-9.394155381325731,13.398692810457517,LOW,NEGATIVE
219,229,PDS Multinational Fashions Ltd.,6250,148,3774.0,Small-Cap,-6.353011687144142,221.73913043478262,EXCELLENT,NEGATIVE
220,230,Tube Investments of India Ltd.,6194,304,32188.0,Large-Cap,28.719866999168747,-0.6535947712418301,NEGATIVE,MODERATE
221,231,Shriram City Union Finance Ltd.,6167,1077,13929.0,Mid-Cap,-1.154031094726719,5.38160469667319,LOW,NEGATIVE
222,232,Jain Irrigation Systems Ltd.,6141,-402,2134.0,Small-Cap,-2.909090909090909,-43.77622377622378,NEGATIVE,NEGATIVE
223,233,Mahindra CIE Automotive Ltd.,6105,106,10245.0,Mid-Cap,-23.110831234256928,-69.97167138810198,NEGATIVE,NEGATIVE
224,234,Spicejet Ltd.,5998,-1029,4503.0,Small-Cap,-54.58125094653945,10.171306209850108,LOW,NEGATIVE
225,235,IIFL Finance Ltd.,5989,760,12617.0,Mid-Cap,24.25311203319502,51.69660678642715,HIGH,MODERATE
226,236,ABB India Ltd.,5986,219,44780.0,Large-Cap,-19.21727395411606,-27.722772277227726,NEGATIVE,NEGATIVE
227,237,Balkrishna Industries Ltd.,5955,1177,45487.0,Large-Cap,17.641248518372183,22.732012513034412,MODERATE,MODERATE
228,238,Shree Renuka Sugars Ltd.,5947,-116,5751.0,Mid-Cap,-23.214977404777276,-105.52644116245831,NEGATIVE,NEGATIVE
229,239,DLF Ltd.,5944,477,102508.0,Large-Cap,-17.764250138350857,-181.8181818181818,NEGATIVE,NEGATIVE
230,240,PNC Infratech Ltd.,5903,496,8178.0,Mid-Cap,2.057399723374827,-9.65391621129326,NEGATIVE,LOW
231,241,Deepak Fertilisers & Petrochemicals Corporation Ltd.,5841,406,4632.0,Small-Cap,22.196652719665273,366.66666666666663,EXCELLENT,MODERATE
232,242,Kansai Nerolac Paints Ltd.,5793,525,31747.0,Large-Cap,9.198868991517436,0.7677543186180422,LOW,LOW
233,244,Hinduja Global Solutions Ltd.,5670,336,5924.0,Mid-Cap,11.94471865745311,67.16417910447761,HIGH,LOW
234,246,Prism Johnson Ltd.,5629,140,6436.0,Mid-Cap,-6.042396928726423,13900.0,EXCELLENT,NEGATIVE
235,247,L&T Technology Services Ltd.,5603,666,55168.0,Large-Cap,-3.860672614962251,-18.581907090464547,NEGATIVE,NEGATIVE
236,248,Hatsun Agro Products Ltd.,5575,246,28952.0,Large-Cap,4.872084273890143,119.64285714285714,EXCELLENT,LOW
237,249,Surya Roshni Ltd.,5566,158,3401.0,Small-Cap,1.680672268907563,54.90196078431373,HIGH,LOW
238,251,IRB Infrastructure Developers Ltd.,5487,117,7814.0,Mid-Cap,-22.761824324324326,-83.75,NEGATIVE,NEGATIVE
239,252,ISGEC Heavy Engineering Ltd.,5477,253,4569.0,Small-Cap,-7.389245857287792,73.28767123287672,HIGH,NEGATIVE
240,253,Ipca Laboratories Ltd.,5457,1141,26791.0,Large-Cap,16.45326504481434,88.28382838283828,HIGH,MODERATE
241,254,Alembic Pharmaceuticals Ltd.,5403,1114,15339.0,Mid-Cap,17.20173535791757,34.54106280193236,MODERATE,MODERATE
242,255,Gujarat Narmada Valley Fertilizers & Chemicals Ltd.,5365,689,6870.0,Mid-Cap,0.940733772342427,35.62992125984252,MODERATE,LOW
243,256,Aditya Birla Fashion and Retail Ltd.,5322,-736,26436.0,Large-Cap,-39.88478481870552,351.53374233128835,EXCELLENT,NEGATIVE
244,257,The Ramco Cements Ltd.,5321,763,24342.0,Large-Cap,-1.862781261527112,26.32450331125828,MODERATE,NEGATIVE
245,258,Sundaram Finance Ltd.,5316,1002,26843.0,Large-Cap,12.199240185732377,26.67509481668774,MODERATE,LOW
246,260,Indraprastha Gas Ltd.,5181,1172,34262.0,Large-Cap,-23.60660572102625,-6.089743589743589,NEGATIVE,NEGATIVE
247,261,Ashoka Buildcon Ltd.,5139,273,2911.0,Small-Cap,-0.4648460197559558,65.45454545454545,HIGH,NEGATIVE
248,262,Arvind Ltd.,5125,-27,3411.0,Small-Cap,-31.013595369497914,-128.42105263157896,NEGATIVE,NEGATIVE
249,263,Oracle Financial Services Software Ltd.,5115,1761,37591.0,Large-Cap,1.5283842794759825,20.451436388508892,MODERATE,LOW
250,264,Firstsource Solutions Ltd.,5079,361,12640.0,Mid-Cap,23.66691015339664,6.489675516224189,LOW,MODERATE
251,265,Polyplex Corporation Ltd.,4977,861,5433.0,Mid-Cap,7.797270955165692,205.31914893617022,EXCELLENT,LOW
252,266,TeamLease Services Ltd.,4916,78,7456.0,Mid-Cap,-6.021793156184286,129.41176470588235,EXCELLENT,NEGATIVE
253,267,Thermax Ltd.,4898,206,18657.0,Mid-Cap,-16.000685988681187,-2.8301886792452833,NEGATIVE,NEGATIVE
254,268,Sterlite Technologies Ltd.,4883,265,11027.0,Mid-Cap,-5.878951426368543,-38.799076212471135,NEGATIVE,NEGATIVE
255,269,Crompton Greaves Consumer Electricals Ltd.,4879,616,28822.0,Large-Cap,6.551648831622625,24.193548387096776,MODERATE,LOW
256,270,Colgate-Palmolive (India) Ltd.,4871,1035,40824.0,Large-Cap,6.493222562308701,26.838235294117645,MODERATE,LOW
257,271,Balrampur Chini Mills Ltd.,4858,479,6669.0,Mid-Cap,1.3772954924874792,-7.7071290944123305,NEGATIVE,LOW
258,272,City Union Bank Ltd.,4839,592,11840.0,Mid-Cap,-0.18564356435643564,24.369747899159663,MODERATE,NEGATIVE
259,273,Laurus Labs Ltd.,4837,983,26433.0,Large-Cap,70.49700387733522,285.4901960784314,EXCELLENT,HIGH
260,275,JK Lakshmi Cement Ltd.,4800,421,7500.0,Mid-Cap,8.843537414965986,69.75806451612904,HIGH,LOW
261,277,Cummins India Ltd.,4746,635,25093.0,Large-Cap,-14.808831448572967,-9.929078014184398,NEGATIVE,NEGATIVE
262,278,Gujarat Ambuja Exports Ltd.,4734,338,3895.0,Small-Cap,23.732357553580762,133.10344827586206,EXCELLENT,MODERATE
263,279,Triveni Engineering & Industries Ltd.,4706,294,4979.0,Small-Cap,4.740707767638549,-12.238805970149254,NEGATIVE,LOW
264,280,PI Industries Ltd.,4706,738,43330.0,Large-Cap,37.76346604215456,61.8421052631579,HIGH,MODERATE
265,281,Coforge Ltd.,4695,466,32575.0,Large-Cap,10.444601270289343,4.954954954954955,LOW,LOW
266,282,LT Foods Ltd.,4686,289,2173.0,Small-Cap,11.998087954110899,57.065217391304344,HIGH,LOW
267,284,Bajaj Electricals Ltd.,4653,188,12486.0,Mid-Cap,-7.550168885356647,-2188.888888888889,NEGATIVE,NEGATIVE
268,287,India Cements Ltd.,4551,208,6293.0,Mid-Cap,-12.949502677888294,316.0,EXCELLENT,NEGATIVE
269,288,Trident Ltd.,4547,304,22789.0,Large-Cap,-4.213187276174426,-10.32448377581121,NEGATIVE,NEGATIVE
270,290,Aarti Industries Ltd.,4506,535,34467.0,Large-Cap,7.413587604290822,-0.18656716417910446,NEGATIVE,LOW
271,291,HFCL Ltd.,4459,246,9570.0,Mid-Cap,15.518134715025909,8.370044052863436,LOW,MODERATE
272,292,Abbott India Ltd.,4390,690,42011.0,Large-Cap,4.349893035417162,16.554054054054053,MODERATE,LOW
273,294,United Breweries Ltd.,4348,113,43526.0,Large-Cap,-33.292420988033136,-73.53629976580797,NEGATIVE,NEGATIVE
274,295,Bayer Cropscience Ltd.,4330,493,21289.0,Large-Cap,17.82312925170068,4.008438818565401,LOW,MODERATE
275,296,Blue Star Ltd.,4325,98,9775.0,Mid-Cap,-19.966691339748337,-31.46853146853147,NEGATIVE,NEGATIVE
276,297,Persistent Systems Ltd.,4295,450,31475.0,Large-Cap,16.143861546782045,32.35294117647059,MODERATE,MODERATE
277,298,Cyient Ltd.,4272,363,12190.0,Mid-Cap,-6.826608505997819,6.140350877192982,LOW,NEGATIVE
278,300,Fortis Healthcare Ltd.,4262,-56,20354.0,Large-Cap,-13.162184189079055,-198.24561403508773,NEGATIVE,NEGATIVE
279,301,Sonata Software Ltd.,4255,243,8961.0,Mid-Cap,11.944225203893712,-11.956521739130435,NEGATIVE,LOW
280,302,Jindal Poly Films Ltd.,4225,790,4373.0,Small-Cap,17.165834719911256,61.885245901639344,HIGH,MODERATE
281,303,KEI Industries Ltd.,4201,273,9191.0,Mid-Cap,-14.335236541598695,6.640625,LOW,NEGATIVE
282,304,Avanti Feeds Ltd.,4193,397,7506.0,Mid-Cap,0.19115890083632017,14.739884393063585,LOW,LOW
283,305,Suzlon Energy Ltd.,4187,100,6213.0,Mid-Cap,39.56666666666667,-103.78501135503406,NEGATIVE,MODERATE
284,306,Dhampur Sugar Mills Ltd.,4174,228,1994.0,Small-Cap,18.748221906116644,5.555555555555555,LOW,MODERATE
285,307,Godawari Power & Ispat Ltd.,4105,654,4194.0,Small-Cap,24.582701062215477,293.9759036144578,EXCELLENT,MODERATE
286,309,KRBL Ltd.,4014,558,6150.0,Mid-Cap,-11.214333112143331,0.0,NEGATIVE,NEGATIVE
287,310,DCB Bank Ltd.,3916,335,3022.0,Small-Cap,-0.30549898167006106,-0.5934718100890208,NEGATIVE,NEGATIVE
288,312,Gayatri Projects Ltd.,3908,43,684.0,Small-Cap,13.472706155632984,-174.13793103448276,NEGATIVE,LOW
289,313,Shipping Corporation of India Ltd.,3907,696,6388.0,Mid-Cap,-16.90769885155253,107.14285714285714,EXCELLENT,NEGATIVE
290,314,Aegis Logistics Ltd.,3880,249,7397.0,Mid-Cap,-46.230598669623056,151.5151515151515,EXCELLENT,NEGATIVE
291,315,JMC Projects (India) Ltd.,3871,-26,1702.0,Small-Cap,-0.5906522855675398,-2700.0,NEGATIVE,NEGATIVE
292,316,Atul Ltd.,3841,660,25857.0,Large-Cap,-8.022030651340996,-0.9009009009009009,NEGATIVE,NEGATIVE
293,317,Wockhardt Ltd.,3825,688,4909.0,Small-Cap,28.48505206583809,-1097.1014492753623,NEGATIVE,MODERATE
294,320,Zensar Technologies Ltd.,3806,306,10394.0,Mid-Cap,-10.866510538641688,16.34980988593156,MODERATE,NEGATIVE
295,322,Jayaswal Neco Industries Ltd.,3711,-558,1784.0,Small-Cap,1.9505494505494505,-62.89893617021277,NEGATIVE,LOW
296,323,Sundram Fasteners Ltd.,3671,362,17510.0,Mid-Cap,-2.132764596107705,11.728395061728394,LOW,NEGATIVE
297,324,Raymond Ltd.,3647,-303,3579.0,Small-Cap,-46.114066193853425,-254.5918367346939,NEGATIVE,NEGATIVE
298,325,SJVN Ltd.,3647,1645,11353.0,Mid-Cap,10.214566334239953,-0.6042296072507553,NEGATIVE,LOW
299,326,Motilal Oswal Financial Services Ltd.,3631,1197,13741.0,Mid-Cap,53.530655391120504,554.0983606557378,EXCELLENT,HIGH
300,327,BEML Ltd.,3616,68,6810.0,Mid-Cap,17.631750162654523,7.936507936507936,LOW,MODERATE
301,328,Procter & Gamble Hygiene & Healthcare Ltd.,3613,651,48160.0,Large-Cap,18.61457649376231,50.34642032332564,HIGH,MODERATE
302,332,Jaiprakash Power Ventures Ltd.,3594,281,3153.0,Small-Cap,2.4223425477343974,-112.99722479185938,NEGATIVE,LOW
303,333,Birlasoft Ltd.,3574,320,12398.0,Mid-Cap,7.230723072307231,42.857142857142854,MODERATE,LOW
304,334,KPR Mill Ltd.,3568,515,17498.0,Mid-Cap,5.281794039539688,36.96808510638298,MODERATE,LOW
305,335,Great Eastern Shipping Company Ltd.,3568,918,4788.0,Small-Cap,-9.625126646403242,343.47826086956525,EXCELLENT,NEGATIVE
306,336,Finolex Industries Ltd.,3550,737,13555.0,Mid-Cap,16.73791515948701,121.98795180722892,EXCELLENT,MODERATE
307,337,Electrosteel Castings Ltd.,3528,-97,1479.0,Small-Cap,28.57142857142857,-160.24844720496893,NEGATIVE,MODERATE
308,338,IFB Industries Ltd.,3527,64,5054.0,Mid-Cap,5.440956651718984,137.03703703703704,EXCELLENT,LOW
309,339,GE T&D India Ltd.,3521,60,3177.0,Small-Cap,9.415786202610317,-119.86754966887416,NEGATIVE,LOW
310,340,Strides Pharma Science Ltd.,3518,257,4616.0,Small-Cap,20.935029219663114,613.8888888888889,EXCELLENT,MODERATE
311,341,SREI Infrastructure Finance Ltd.,3487,-7338,253.0,Small-Cap,-41.74741062479118,-8438.636363636364,NEGATIVE,NEGATIVE
312,342,Sun TV Network Ltd.,3483,1525,21977.0,Large-Cap,-7.857142857142857,10.108303249097473,LOW,NEGATIVE
313,343,Mukand Ltd.,3474,-203,1868.0,Small-Cap,16.187290969899664,-15.062761506276152,NEGATIVE,MODERATE
314,346,Jubilant Foodworks Ltd.,3384,230,50367.0,Large-Cap,-15.315315315315313,-17.562724014336915,NEGATIVE,NEGATIVE
315,347,GlaxoSmithKline Pharmaceuticals Ltd.,3346,358,27857.0,Large-Cap,-13.090909090909092,284.9462365591398,EXCELLENT,NEGATIVE
316,349,Prakash Industries Ltd.,3327,95,1186.0,Small-Cap,10.752330226364846,-19.491525423728813,NEGATIVE,LOW
317,350,The Fertilisers and Chemicals Travancore Ltd.,3326,351,7516.0,Mid-Cap,-11.847336337132255,-64.0,NEGATIVE,NEGATIVE
318,351,Kirloskar Oil Engines Ltd.,3322,197,2803.0,Small-Cap,-3.3740546829552063,6.486486486486487,LOW,NEGATIVE
319,352,Blue Dart Express Ltd.,3308,101,16311.0,Mid-Cap,3.699059561128527,-346.3414634146341,NEGATIVE,LOW
320,353,Mahindra Logistics Ltd.,3281,29,5116.0,Mid-Cap,-5.853658536585367,-47.27272727272727,NEGATIVE,NEGATIVE
321,354,Dish TV India Ltd.,3264,-1189,3172.0,Small-Cap,-8.545811151583077,-27.411477411477414,NEGATIVE,NEGATIVE
322,357,Tamil Nadu Newsprint And Papers Ltd.,3252,-65,916.0,Small-Cap,-16.293436293436294,-150.0,NEGATIVE,NEGATIVE
323,358,JM Financial Ltd.,3226,806,7634.0,Mid-Cap,-6.573993628728641,48.161764705882355,MODERATE,NEGATIVE
324,359,Supreme Petrochem Ltd.,3206,477,6199.0,Mid-Cap,17.178362573099413,367.6470588235294,EXCELLENT,MODERATE
325,360,Astral Ltd.,3201,408,45098.0,Large-Cap,23.59073359073359,65.18218623481782,HIGH,MODERATE
326,361,Kothari Products Ltd.,3192,-56,283.0,Small-Cap,-25.47279943964511,-264.70588235294116,NEGATIVE,NEGATIVE
327,363,Venky's (India) Ltd.,3152,267,3761.0,Small-Cap,-4.368932038834951,-1088.888888888889,NEGATIVE,NEGATIVE
328,364,Honeywell Automation India Ltd.,3126,460,36582.0,Large-Cap,-7.705934455270151,-6.313645621181263,NEGATIVE,NEGATIVE
329,366,JK Paper Ltd.,3111,236,3737.0,Small-Cap,-8.607520564042304,-50.31578947368421,NEGATIVE,NEGATIVE
330,368,EPL Ltd.,3106,244,6641.0,Mid-Cap,11.566091954022989,17.874396135265698,MODERATE,LOW
331,369,CG Power and Industrial Solutions Ltd.,3075,-393,21014.0,Large-Cap,-42.534105774621565,-81.79712830013895,NEGATIVE,NEGATIVE
332,370,Finolex Cables Ltd.,3068,461,8204.0,Mid-Cap,0.7222586999343401,17.902813299232736,MODERATE,LOW
333,371,Amber Enterprises India Ltd.,3063,83,11220.0,Mid-Cap,-22.8463476070529,-47.46835443037975,NEGATIVE,NEGATIVE
334,372,Castrol India Ltd.,3058,582,13312.0,Mid-Cap,-22.405480842425778,-29.62515114873035,NEGATIVE,NEGATIVE
335,373,AIA Engineering Ltd.,3053,565,17788.0,Mid-Cap,-1.8643522982963678,-4.23728813559322,NEGATIVE,NEGATIVE
336,374,KNR Constructions Ltd.,3047,382,7990.0,Mid-Cap,20.530063291139243,44.15094339622642,MODERATE,MODERATE
337,375,Paul Merchants Ltd.,3042,33,167.0,Small-Cap,-43.7291897891232,26.923076923076923,MODERATE,NEGATIVE
338,376,Cochin Shipyard Ltd.,3022,608,4735.0,Small-Cap,-17.589310062721573,-3.79746835443038,NEGATIVE,NEGATIVE
339,377,Time Technoplast Ltd.,3008,105,1709.0,Small-Cap,-15.977653631284916,-37.8698224852071,NEGATIVE,NEGATIVE
340,378,Kesoram Industries Ltd.,3002,140,1530.0,Small-Cap,11.806331471135941,-174.86631016042782,NEGATIVE,LOW
341,379,Sanofi India Ltd.,2991,477,18753.0,Mid-Cap,-5.467762326169406,15.217391304347828,MODERATE,NEGATIVE
342,380,Emami Ltd.,2950,454,24019.0,Large-Cap,8.815935079306529,50.331125827814574,HIGH,LOW
343,381,Forbes & Company Ltd.,2945,-116,6930.0,Mid-Cap,5.028530670470756,-64.19753086419753,NEGATIVE,LOW
344,382,GHCL Ltd.,2927,326,3850.0,Small-Cap,-11.890427453341362,-17.67676767676768,NEGATIVE,NEGATIVE
345,384,Brightcom Group Ltd.,2876,483,10609.0,Mid-Cap,6.2823355506282335,9.772727272727273,LOW,LOW
346,385,Page Industries Ltd.,2852,340,44216.0,Large-Cap,-3.9730639730639727,-0.8746355685131195,NEGATIVE,NEGATIVE
347,387,PC Jeweller Ltd.,2850,62,1186.0,Small-Cap,-46.09419330433138,-25.301204819277107,NEGATIVE,NEGATIVE
348,388,Va Tech Wabag Ltd.,2848,100,2138.0,Small-Cap,9.664998074701579,11.11111111111111,LOW,LOW
349,389,Transport Corporation of India Ltd.,2847,150,5521.0,Mid-Cap,3.040173724212812,5.633802816901409,LOW,LOW
350,390,Nava Bharat Ventures Ltd.,2824,550,1680.0,Small-Cap,-1.9444444444444444,39.24050632911392,MODERATE,NEGATIVE
351,391,Kajaria Ceramics Ltd.,2802,308,18720.0,Mid-Cap,-1.059322033898305,20.784313725490197,MODERATE,NEGATIVE
352,392,Jai Balaji Industries Ltd.,2796,-75,554.0,Small-Cap,-5.763397371081901,-34.21052631578947,NEGATIVE,NEGATIVE
353,393,Galaxy Surfactants Ltd.,2794,302,10519.0,Mid-Cap,7.378939277478862,31.30434782608696,MODERATE,LOW
354,394,Trent Ltd.,2794,-181,39163.0,Large-Cap,-23.03030303030303,-248.36065573770495,NEGATIVE,NEGATIVE
355,395,ITD Cementation India Ltd.,2773,15,1325.0,Small-Cap,-4.147943311441411,-65.11627906976744,NEGATIVE,NEGATIVE
356,396,Kirloskar Brothers Ltd.,2770,153,2938.0,Small-Cap,-12.673392181588902,115.49295774647888,EXCELLENT,NEGATIVE
357,397,V-Guard Industries Ltd.,2741,201,10779.0,Mid-Cap,8.425632911392405,7.4866310160427805,LOW,LOW
358,400,SKF India Ltd.,2706,297,18585.0,Mid-Cap,-8.115449915110357,3.125,LOW,NEGATIVE
359,402,Carborundum Universal Ltd.,2691,293,16980.0,Mid-Cap,1.1273957158962795,7.720588235294118,LOW,LOW
360,403,Century Textiles & Industries Ltd.,2678,-33,9341.0,Mid-Cap,-22.55639097744361,-109.04109589041096,NEGATIVE,NEGATIVE
361,404,Phillips Carbon Black Ltd.,2677,313,4227.0,Small-Cap,-18.184596577017114,9.44055944055944,LOW,NEGATIVE
362,406,Godfrey Phillips India Ltd.,2661,376,6378.0,Mid-Cap,-13.152741514360313,-2.083333333333333,NEGATIVE,NEGATIVE
363,408,3M India Ltd.,2629,162,29351.0,Large-Cap,-13.291556728232191,-49.68944099378882,NEGATIVE,NEGATIVE
364,409,Sadbhav Engineering Ltd.,2620,-237,771.0,Small-Cap,-51.14674622412828,-129.92424242424244,NEGATIVE,NEGATIVE
365,412,Narayana Hrudayalaya Ltd.,2610,-14,11496.0,Mid-Cap,-17.169152649952395,-111.86440677966101,NEGATIVE,NEGATIVE
366,413,Prime Focus Ltd.,2610,-56,2242.0,Small-Cap,-13.375373382011285,-57.25190839694656,NEGATIVE,NEGATIVE
367,414,J Kumar Infraprojects Ltd.,2596,63,1308.0,Small-Cap,-13.408939292861907,-65.57377049180327,NEGATIVE,NEGATIVE
368,416,Orient Cement Ltd.,2585,214,3433.0,Small-Cap,-1.0336906584992342,148.8372093023256,EXCELLENT,NEGATIVE
369,421,Zuari Agro Chemicals Ltd.,2552,-126,465.0,Small-Cap,-50.369506028782574,-84.26966292134831,NEGATIVE,NEGATIVE
370,423,Religare Enterprises Ltd.,2530,-477,5306.0,Mid-Cap,5.548602419691281,-48.81974248927038,NEGATIVE,LOW
371,426,Electrotherm (India) Ltd.,2522,49,153.0,Small-Cap,-22.661760196258815,104.16666666666667,EXCELLENT,NEGATIVE
372,427,Gujarat Alkalies & Chemicals Ltd.,2496,165,5009.0,Mid-Cap,-11.300639658848615,-50.30120481927711,NEGATIVE,NEGATIVE
373,430,Heritage Foods Ltd.,2481,148,2261.0,Small-Cap,-18.091779465170024,-192.5,NEGATIVE,NEGATIVE
374,434,Huhtamaki India Ltd.,2470,95,1800.0,Small-Cap,-4.963447479799923,-44.11764705882353,NEGATIVE,NEGATIVE
375,435,Asahi India Glass Ltd.,2466,130,11392.0,Mid-Cap,-7.467166979362101,-15.032679738562091,NEGATIVE,NEGATIVE
376,437,Akzo Nobel India Ltd.,2444,207,9689.0,Mid-Cap,-9.548482605477423,-12.658227848101266,NEGATIVE,NEGATIVE
377,441,Wheels India Ltd.,2415,0,1684.0,Small-Cap,-9.854423292273236,-100.0,NEGATIVE,NEGATIVE
378,442,Minda Corporation Ltd.,2405,52,4054.0,Small-Cap,-16.1728825374695,-126.13065326633166,NEGATIVE,NEGATIVE
379,443,Maharashtra Seamless Ltd.,2395,121,3401.0,Small-Cap,-11.098737936154416,45.78313253012048,MODERATE,NEGATIVE
380,445,RSWM Ltd.,2365,20,1057.0,Small-Cap,-15.95593461265103,-253.84615384615384,NEGATIVE,NEGATIVE
381,447,Poonawalla Fincorp Ltd.,2357,-558,14176.0,Mid-Cap,-8.001561280249806,-2166.666666666667,NEGATIVE,NEGATIVE
382,448,India Glycols Ltd.,2355,131,2784.0,Small-Cap,-32.69505573020864,14.912280701754385,LOW,NEGATIVE
383,451,Future Lifestyle Fashions Ltd.,2327,-911,1095.0,Small-Cap,-63.41770161924226,1618.867924528302,EXCELLENT,NEGATIVE
384,453,Pfizer Ltd.,2319,497,23330.0,Large-Cap,-0.6852248394004282,-2.357563850687623,NEGATIVE,NEGATIVE
385,457,Graphite India Ltd.,2273,-32,9569.0,Mid-Cap,-30.42546678910315,-172.72727272727272,NEGATIVE,NEGATIVE
386,459,Himatsingka Seide Ltd.,2272,-53,2339.0,Small-Cap,-6.07689127738735,-507.6923076923077,NEGATIVE,NEGATIVE
387,461,Simplex Infrastructures Ltd.,2259,-469,231.0,Small-Cap,-44.80820913755192,46.5625,MODERATE,NEGATIVE
388,463,Mahanagar Gas Ltd.,2233,619,9687.0,Mid-Cap,-27.287528492347768,-21.94199243379571,NEGATIVE,NEGATIVE
389,467,Sobha Ltd.,2190,62,8251.0,Mid-Cap,-42.745098039215684,-77.93594306049823,NEGATIVE,NEGATIVE
390,468,Mangalore Chemicals & Fertilizers Ltd.,2170,67,815.0,Small-Cap,-20.629114850036576,4.6875,LOW,NEGATIVE
391,471,Patel Engineering Ltd.,2160,-272,1126.0,Small-Cap,-23.458540042523033,-2572.7272727272725,NEGATIVE,NEGATIVE
392,475,Century Plyboards (India) Ltd.,2147,191,14344.0,Mid-Cap,-7.81451266638042,27.333333333333332,MODERATE,NEGATIVE
393,477,Usha Martin Ltd.,2130,146,2757.0,Small-Cap,-20.817843866171003,-65.07177033492823,NEGATIVE,NEGATIVE
394,481,Nilkamal Ltd.,2109,113,3531.0,Small-Cap,-7.378129117259552,-20.422535211267608,NEGATIVE,NEGATIVE
395,482,IFCI Ltd.,2096,-1911,2522.0,Small-Cap,-7.420494699646643,589.8916967509026,EXCELLENT,NEGATIVE
396,486,Rane Holdings Ltd.,2080,-60,863.0,Small-Cap,-6.893464637421665,2900.0,EXCELLENT,NEGATIVE
397,491,Shankara Building Products Ltd.,2044,13,1290.0,Small-Cap,-22.692889561270803,-66.66666666666666,NEGATIVE,NEGATIVE
398,495,Force Motors Ltd.,2013,-123,1976.0,Small-Cap,-35.54274735830932,-346.0,NEGATIVE,NEGATIVE
399,497,Bharat Dynamics Ltd.,2008,257,7612.0,Mid-Cap,-37.46496418561196,-51.87265917602997,NEGATIVE,NEGATIVE
